#     Tmax k1 k2 log10(P)   e
100.000000 14 15 0.000000 0.0
100.000000 14 15 0.035354 0.0
100.000000 14 15 0.070707 0.0
100.000000 14 15 0.106061 0.0
100.000000 14 15 0.141414 0.0
100.000000 14 15 0.176768 0.0
100.000000 13 15 0.212121 0.0
100.000000 13 15 0.247475 0.0
100.000000 13 15 0.282828 0.0
100.000000 13 15 0.318182 0.0
100.000000 13 15 0.353535 0.0
100.000000 13 15 0.388889 0.0
100.000000 13 15 0.424242 0.0
100.000000 13 15 0.459596 0.0
100.000000 13 15 0.494949 0.0
100.000000 13 15 0.530303 0.0
100.000000 13 15 0.565657 0.0
100.000000 13 15 0.601010 0.0
100.000000 13 15 0.636364 0.0
100.000000 13 15 0.671717 0.0
100.000000 13 15 0.707071 0.0
100.000000 13 15 0.742424 0.0
100.000000 13 15 0.777778 0.0
100.000000 13 15 0.813131 0.0
100.000000 13 15 0.848485 0.0
100.000000 13 15 0.883838 0.0
100.000000 13 15 0.919192 0.0
100.000000 13 15 0.954545 0.0
100.000000 13 15 0.989899 0.0
100.000000 13 15 1.025253 0.0
100.000000 13 15 1.060606 0.0
100.000000 13 15 1.095960 0.0
100.000000 13 15 1.131313 0.0
100.000000 13 15 1.166667 0.0
100.000000 13 15 1.202020 0.0
100.000000 13 15 1.237374 0.0
100.000000 13 15 1.272727 0.0
100.000000 13 15 1.308081 0.0
100.000000 13 15 1.343434 0.0
100.000000 13 15 1.378788 0.0
100.000000 13 15 1.414141 0.0
100.000000 13 15 1.449495 0.0
100.000000 13 15 1.484848 0.0
100.000000 13 15 1.520202 0.0
100.000000 13 15 1.555556 0.0
100.000000 13 15 1.590909 0.0
100.000000 13 15 1.626263 0.0
100.000000 13 15 1.661616 0.0
100.000000 13 15 1.696970 0.0
100.000000 14 15 1.732323 0.0
100.000000 13 13 1.767677 0.0
100.000000 13 13 1.803030 0.0
100.000000 13 13 1.838384 0.0
100.000000 13 13 1.873737 0.0
100.000000 13 13 1.909091 0.0
100.000000 13 13 1.944444 0.0
100.000000 13 13 1.979798 0.0
100.000000 13 13 2.015152 0.0
100.000000 13 13 2.050505 0.0
100.000000 14 13 2.085859 0.0
100.000000 14 13 2.121212 0.0
100.000000 14 13 2.156566 0.0
100.000000 13 14 2.191919 0.0
100.000000 13 14 2.227273 0.0
100.000000 13 14 2.262626 0.0
100.000000 13 14 2.297980 0.0
100.000000 13 14 2.333333 0.0
100.000000 13 14 2.368687 0.0
100.000000 13 14 2.404040 0.0
100.000000 13 14 2.439394 0.0
100.000000 13 14 2.474747 0.0
100.000000 13 14 2.510101 0.0
100.000000 13 14 2.545455 0.0
100.000000 13 14 2.580808 0.0
100.000000 13 14 2.616162 0.0
100.000000 13 14 2.651515 0.0
100.000000 13 14 2.686869 0.0
100.000000 13 14 2.722222 0.0
100.000000 13 14 2.757576 0.0
100.000000 13 14 2.792929 0.0
100.000000 13 14 2.828283 0.0
100.000000 13 14 2.863636 0.0
100.000000 13 14 2.898990 0.0
100.000000 13 14 2.934343 0.0
100.000000 13 14 2.969697 0.0
100.000000 13 14 3.005051 0.0
100.000000 13 14 3.040404 0.0
100.000000 13 14 3.075758 0.0
100.000000 13 14 3.111111 0.0
100.000000 13 14 3.146465 0.0
100.000000 13 14 3.181818 0.0
100.000000 13 14 3.217172 0.0
100.000000 13 14 3.252525 0.0
100.000000 13 14 3.287879 0.0
100.000000 13 14 3.323232 0.0
100.000000 13 14 3.358586 0.0
100.000000 13 14 3.393939 0.0
100.000000 13 14 3.429293 0.0
100.000000 13 14 3.464646 0.0
100.000000 13 14 3.500000 0.0
100.000000 14 15 0.000000 0.2
100.000000 14 15 0.035354 0.2
100.000000 14 15 0.070707 0.2
100.000000 14 15 0.106061 0.2
100.000000 14 15 0.141414 0.2
100.000000 14 15 0.176768 0.2
100.000000 14 15 0.212121 0.2
100.000000 13 15 0.247475 0.2
100.000000 13 15 0.282828 0.2
100.000000 13 15 0.318182 0.2
100.000000 13 15 0.353535 0.2
100.000000 13 15 0.388889 0.2
100.000000 13 15 0.424242 0.2
100.000000 13 15 0.459596 0.2
100.000000 13 15 0.494949 0.2
100.000000 13 15 0.530303 0.2
100.000000 13 15 0.565657 0.2
100.000000 13 15 0.601010 0.2
100.000000 13 15 0.636364 0.2
100.000000 13 15 0.671717 0.2
100.000000 13 15 0.707071 0.2
100.000000 13 15 0.742424 0.2
100.000000 13 15 0.777778 0.2
100.000000 13 15 0.813131 0.2
100.000000 13 15 0.848485 0.2
100.000000 13 15 0.883838 0.2
100.000000 13 15 0.919192 0.2
100.000000 13 15 0.954545 0.2
100.000000 13 15 0.989899 0.2
100.000000 13 15 1.025253 0.2
100.000000 13 15 1.060606 0.2
100.000000 13 15 1.095960 0.2
100.000000 13 15 1.131313 0.2
100.000000 13 15 1.166667 0.2
100.000000 13 15 1.202020 0.2
100.000000 13 15 1.237374 0.2
100.000000 13 15 1.272727 0.2
100.000000 13 15 1.308081 0.2
100.000000 13 15 1.343434 0.2
100.000000 13 15 1.378788 0.2
100.000000 13 15 1.414141 0.2
100.000000 13 15 1.449495 0.2
100.000000 13 15 1.484848 0.2
100.000000 13 15 1.520202 0.2
100.000000 13 15 1.555556 0.2
100.000000 13 15 1.590909 0.2
100.000000 13 15 1.626263 0.2
100.000000 13 15 1.661616 0.2
100.000000 15 14 1.696970 0.2
100.000000 13 13 1.732323 0.2
100.000000 13 13 1.767677 0.2
100.000000 13 13 1.803030 0.2
100.000000 13 13 1.838384 0.2
100.000000 13 13 1.873737 0.2
100.000000 13 13 1.909091 0.2
100.000000 13 13 1.944444 0.2
100.000000 14 13 1.979798 0.2
100.000000 14 13 2.015152 0.2
100.000000 14 13 2.050505 0.2
100.000000 14 13 2.085859 0.2
100.000000 14 13 2.121212 0.2
100.000000 14 13 2.156566 0.2
100.000000 13 14 2.191919 0.2
100.000000 13 14 2.227273 0.2
100.000000 13 14 2.262626 0.2
100.000000 13 14 2.297980 0.2
100.000000 13 14 2.333333 0.2
100.000000 13 14 2.368687 0.2
100.000000 13 14 2.404040 0.2
100.000000 13 14 2.439394 0.2
100.000000 13 14 2.474747 0.2
100.000000 13 14 2.510101 0.2
100.000000 13 14 2.545455 0.2
100.000000 13 14 2.580808 0.2
100.000000 13 14 2.616162 0.2
100.000000 13 14 2.651515 0.2
100.000000 13 14 2.686869 0.2
100.000000 13 14 2.722222 0.2
100.000000 13 14 2.757576 0.2
100.000000 13 14 2.792929 0.2
100.000000 13 14 2.828283 0.2
100.000000 13 14 2.863636 0.2
100.000000 13 14 2.898990 0.2
100.000000 13 14 2.934343 0.2
100.000000 13 14 2.969697 0.2
100.000000 13 14 3.005051 0.2
100.000000 13 14 3.040404 0.2
100.000000 13 14 3.075758 0.2
100.000000 13 14 3.111111 0.2
100.000000 13 14 3.146465 0.2
100.000000 13 14 3.181818 0.2
100.000000 13 14 3.217172 0.2
100.000000 13 14 3.252525 0.2
100.000000 13 14 3.287879 0.2
100.000000 13 14 3.323232 0.2
100.000000 13 14 3.358586 0.2
100.000000 13 14 3.393939 0.2
100.000000 13 14 3.429293 0.2
100.000000 13 14 3.464646 0.2
100.000000 13 14 3.500000 0.2
100.000000 14 15 0.000000 0.4
100.000000 14 15 0.035354 0.4
100.000000 14 15 0.070707 0.4
100.000000 14 15 0.106061 0.4
100.000000 14 15 0.141414 0.4
100.000000 14 15 0.176768 0.4
100.000000 14 15 0.212121 0.4
100.000000 14 15 0.247475 0.4
100.000000 14 15 0.282828 0.4
100.000000 13 15 0.318182 0.4
100.000000 13 15 0.353535 0.4
100.000000 13 15 0.388889 0.4
100.000000 13 15 0.424242 0.4
100.000000 13 15 0.459596 0.4
100.000000 13 15 0.494949 0.4
100.000000 13 15 0.530303 0.4
100.000000 13 15 0.565657 0.4
100.000000 13 15 0.601010 0.4
100.000000 13 15 0.636364 0.4
100.000000 13 15 0.671717 0.4
100.000000 13 15 0.707071 0.4
100.000000 13 15 0.742424 0.4
100.000000 13 15 0.777778 0.4
100.000000 13 15 0.813131 0.4
100.000000 13 15 0.848485 0.4
100.000000 13 15 0.883838 0.4
100.000000 13 15 0.919192 0.4
100.000000 13 15 0.954545 0.4
100.000000 13 15 0.989899 0.4
100.000000 13 15 1.025253 0.4
100.000000 13 15 1.060606 0.4
100.000000 13 15 1.095960 0.4
100.000000 13 15 1.131313 0.4
100.000000 13 15 1.166667 0.4
100.000000 13 15 1.202020 0.4
100.000000 13 15 1.237374 0.4
100.000000 13 15 1.272727 0.4
100.000000 13 15 1.308081 0.4
100.000000 13 15 1.343434 0.4
100.000000 13 15 1.378788 0.4
100.000000 13 15 1.414141 0.4
100.000000 13 15 1.449495 0.4
100.000000 13 15 1.484848 0.4
100.000000 13 15 1.520202 0.4
100.000000 13 15 1.555556 0.4
100.000000 13 15 1.590909 0.4
100.000000 13 15 1.626263 0.4
100.000000 13 15 1.661616 0.4
100.000000 13 15 1.696970 0.4
100.000000 11 13 1.732323 0.4
100.000000 13 13 1.767677 0.4
100.000000 13 13 1.803030 0.4
100.000000 13 13 1.838384 0.4
100.000000 13 13 1.873737 0.4
100.000000 13 13 1.909091 0.4
100.000000 13 13 1.944444 0.4
100.000000 14 13 1.979798 0.4
100.000000 14 13 2.015152 0.4
100.000000 14 13 2.050505 0.4
100.000000 14 13 2.085859 0.4
100.000000 14 13 2.121212 0.4
100.000000 14 13 2.156566 0.4
100.000000 14 13 2.191919 0.4
100.000000 14 13 2.227273 0.4
100.000000 13 14 2.262626 0.4
100.000000 13 14 2.297980 0.4
100.000000 13 14 2.333333 0.4
100.000000 13 14 2.368687 0.4
100.000000 13 14 2.404040 0.4
100.000000 13 14 2.439394 0.4
100.000000 13 14 2.474747 0.4
100.000000 13 14 2.510101 0.4
100.000000 13 14 2.545455 0.4
100.000000 13 14 2.580808 0.4
100.000000 13 14 2.616162 0.4
100.000000 13 14 2.651515 0.4
100.000000 13 14 2.686869 0.4
100.000000 13 14 2.722222 0.4
100.000000 13 14 2.757576 0.4
100.000000 13 14 2.792929 0.4
100.000000 13 14 2.828283 0.4
100.000000 13 14 2.863636 0.4
100.000000 13 14 2.898990 0.4
100.000000 13 14 2.934343 0.4
100.000000 13 14 2.969697 0.4
100.000000 13 14 3.005051 0.4
100.000000 13 14 3.040404 0.4
100.000000 13 14 3.075758 0.4
100.000000 13 14 3.111111 0.4
100.000000 13 14 3.146465 0.4
100.000000 13 14 3.181818 0.4
100.000000 13 14 3.217172 0.4
100.000000 13 14 3.252525 0.4
100.000000 13 14 3.287879 0.4
100.000000 13 14 3.323232 0.4
100.000000 13 14 3.358586 0.4
100.000000 13 14 3.393939 0.4
100.000000 13 14 3.429293 0.4
100.000000 13 14 3.464646 0.4
100.000000 13 14 3.500000 0.4
100.000000 14 15 0.000000 0.6
100.000000 14 15 0.035354 0.6
100.000000 14 15 0.070707 0.6
100.000000 14 15 0.106061 0.6
100.000000 14 15 0.141414 0.6
100.000000 14 15 0.176768 0.6
100.000000 14 15 0.212121 0.6
100.000000 14 15 0.247475 0.6
100.000000 14 15 0.282828 0.6
100.000000 14 15 0.318182 0.6
100.000000 14 15 0.353535 0.6
100.000000 14 15 0.388889 0.6
100.000000 14 15 0.424242 0.6
100.000000 14 15 0.459596 0.6
100.000000 13 15 0.494949 0.6
100.000000 13 15 0.530303 0.6
100.000000 13 15 0.565657 0.6
100.000000 13 15 0.601010 0.6
100.000000 13 15 0.636364 0.6
100.000000 13 15 0.671717 0.6
100.000000 13 15 0.707071 0.6
100.000000 13 15 0.742424 0.6
100.000000 13 15 0.777778 0.6
100.000000 13 15 0.813131 0.6
100.000000 13 15 0.848485 0.6
100.000000 13 15 0.883838 0.6
100.000000 13 15 0.919192 0.6
100.000000 13 15 0.954545 0.6
100.000000 15 14 0.989899 0.6
100.000000 15 14 1.025253 0.6
100.000000 15 14 1.060606 0.6
100.000000 15 14 1.095960 0.6
100.000000 15 14 1.131313 0.6
100.000000 15 14 1.166667 0.6
100.000000 15 14 1.202020 0.6
100.000000 15 14 1.237374 0.6
100.000000 15 14 1.272727 0.6
100.000000 13 15 1.308081 0.6
100.000000 13 15 1.343434 0.6
100.000000 13 15 1.378788 0.6
100.000000 13 15 1.414141 0.6
100.000000 13 15 1.449495 0.6
