#     Tmax k1 k2 log10(P)   e
5.000000 1 1 2.686869 0.2
5.000000 1 1 2.722222 0.2
5.000000 1 1 2.757576 0.2
5.000000 1 1 2.792929 0.2
5.000000 1 1 2.828283 0.2
5.000000 1 1 2.863636 0.2
5.000000 1 1 2.898990 0.2
5.000000 1 1 2.934343 0.2
5.000000 1 1 2.969697 0.2
5.000000 1 1 3.005051 0.2
5.000000 1 1 3.040404 0.2
5.000000 1 1 3.075758 0.2
5.000000 1 1 3.111111 0.2
5.000000 1 1 3.146465 0.2
5.000000 1 1 3.181818 0.2
5.000000 1 1 3.217172 0.2
5.000000 1 1 3.252525 0.2
5.000000 1 1 3.287879 0.2
5.000000 1 1 3.323232 0.2
5.000000 1 1 3.358586 0.2
5.000000 1 1 3.393939 0.2
5.000000 1 1 3.429293 0.2
5.000000 1 1 3.464646 0.2
5.000000 1 1 3.500000 0.2
5.000000 1 1 0.000000 0.4
5.000000 1 1 0.035354 0.4
5.000000 1 1 0.070707 0.4
5.000000 1 1 0.106061 0.4
5.000000 1 1 0.141414 0.4
5.000000 1 1 0.176768 0.4
5.000000 1 1 0.212121 0.4
5.000000 1 1 0.247475 0.4
5.000000 1 1 0.282828 0.4
5.000000 1 1 0.318182 0.4
5.000000 1 1 0.353535 0.4
5.000000 1 1 0.388889 0.4
5.000000 1 1 0.424242 0.4
5.000000 1 1 0.459596 0.4
5.000000 1 1 0.494949 0.4
5.000000 1 1 0.530303 0.4
5.000000 1 1 0.565657 0.4
5.000000 1 1 0.601010 0.4
5.000000 1 1 0.636364 0.4
5.000000 1 1 0.671717 0.4
5.000000 1 1 0.707071 0.4
5.000000 1 1 0.742424 0.4
5.000000 1 1 0.777778 0.4
5.000000 1 1 0.813131 0.4
5.000000 1 1 0.848485 0.4
5.000000 1 1 0.883838 0.4
5.000000 1 1 0.919192 0.4
5.000000 1 1 0.954545 0.4
5.000000 1 1 0.989899 0.4
5.000000 1 1 1.025253 0.4
5.000000 1 1 1.060606 0.4
5.000000 1 1 1.095960 0.4
5.000000 1 1 1.131313 0.4
5.000000 1 1 1.166667 0.4
5.000000 1 1 1.202020 0.4
5.000000 1 1 1.237374 0.4
5.000000 1 1 1.272727 0.4
5.000000 1 1 1.308081 0.4
5.000000 1 1 1.343434 0.4
5.000000 1 1 1.378788 0.4
5.000000 1 1 1.414141 0.4
5.000000 1 1 1.449495 0.4
5.000000 1 1 1.484848 0.4
5.000000 1 1 1.520202 0.4
5.000000 1 1 1.555556 0.4
5.000000 1 1 1.590909 0.4
5.000000 1 1 1.626263 0.4
5.000000 1 1 1.661616 0.4
5.000000 1 1 1.696970 0.4
5.000000 1 1 1.732323 0.4
5.000000 1 1 1.767677 0.4
5.000000 1 1 1.803030 0.4
5.000000 1 1 1.838384 0.4
5.000000 1 1 1.873737 0.4
5.000000 1 1 1.909091 0.4
5.000000 1 1 1.944444 0.4
5.000000 1 1 1.979798 0.4
5.000000 1 1 2.015152 0.4
5.000000 1 1 2.050505 0.4
5.000000 1 1 2.085859 0.4
5.000000 1 1 2.121212 0.4
5.000000 1 1 2.156566 0.4
5.000000 1 1 2.191919 0.4
5.000000 1 1 2.227273 0.4
5.000000 1 1 2.262626 0.4
5.000000 1 1 2.297980 0.4
5.000000 1 1 2.333333 0.4
5.000000 1 1 2.368687 0.4
5.000000 1 1 2.404040 0.4
5.000000 1 1 2.439394 0.4
5.000000 1 1 2.474747 0.4
5.000000 1 1 2.510101 0.4
5.000000 1 1 2.545455 0.4
5.000000 1 1 2.580808 0.4
5.000000 1 1 2.616162 0.4
5.000000 1 1 2.651515 0.4
5.000000 1 1 2.686869 0.4
5.000000 1 1 2.722222 0.4
5.000000 1 1 2.757576 0.4
5.000000 1 1 2.792929 0.4
5.000000 1 1 2.828283 0.4
5.000000 1 1 2.863636 0.4
5.000000 1 1 2.898990 0.4
5.000000 1 1 2.934343 0.4
5.000000 1 1 2.969697 0.4
5.000000 1 1 3.005051 0.4
5.000000 1 1 3.040404 0.4
5.000000 1 1 3.075758 0.4
5.000000 1 1 3.111111 0.4
5.000000 1 1 3.146465 0.4
5.000000 1 1 3.181818 0.4
5.000000 1 1 3.217172 0.4
5.000000 1 1 3.252525 0.4
5.000000 1 1 3.287879 0.4
5.000000 1 1 3.323232 0.4
5.000000 1 1 3.358586 0.4
5.000000 1 1 3.393939 0.4
5.000000 1 1 3.429293 0.4
5.000000 1 1 3.464646 0.4
5.000000 1 1 3.500000 0.4
5.000000 1 15 0.000000 0.6
5.000000 1 15 0.035354 0.6
5.000000 1 15 0.070707 0.6
5.000000 1 15 0.106061 0.6
5.000000 1 15 0.141414 0.6
5.000000 1 15 0.176768 0.6
5.000000 1 15 0.212121 0.6
5.000000 1 1 0.247475 0.6
5.000000 1 1 0.282828 0.6
5.000000 1 1 0.318182 0.6
5.000000 1 1 0.353535 0.6
5.000000 1 1 0.388889 0.6
5.000000 1 1 0.424242 0.6
5.000000 1 1 0.459596 0.6
5.000000 1 1 0.494949 0.6
5.000000 1 1 0.530303 0.6
5.000000 1 1 0.565657 0.6
5.000000 1 1 0.601010 0.6
5.000000 1 1 0.636364 0.6
5.000000 1 1 0.671717 0.6
5.000000 1 1 0.707071 0.6
5.000000 1 1 0.742424 0.6
5.000000 1 1 0.777778 0.6
5.000000 1 1 0.813131 0.6
5.000000 1 1 0.848485 0.6
5.000000 1 1 0.883838 0.6
5.000000 1 1 0.919192 0.6
5.000000 1 1 0.954545 0.6
5.000000 1 1 0.989899 0.6
5.000000 1 1 1.025253 0.6
5.000000 1 1 1.060606 0.6
5.000000 1 1 1.095960 0.6
5.000000 1 1 1.131313 0.6
5.000000 1 1 1.166667 0.6
5.000000 1 1 1.202020 0.6
5.000000 1 1 1.237374 0.6
5.000000 1 1 1.272727 0.6
5.000000 1 1 1.308081 0.6
5.000000 1 1 1.343434 0.6
5.000000 1 1 1.378788 0.6
5.000000 1 1 1.414141 0.6
5.000000 1 1 1.449495 0.6
5.000000 1 1 1.484848 0.6
5.000000 1 1 1.520202 0.6
5.000000 1 1 1.555556 0.6
5.000000 1 1 1.590909 0.6
5.000000 1 1 1.626263 0.6
5.000000 1 1 1.661616 0.6
5.000000 1 1 1.696970 0.6
5.000000 1 1 1.732323 0.6
5.000000 1 1 1.767677 0.6
5.000000 1 1 1.803030 0.6
5.000000 1 1 1.838384 0.6
5.000000 1 1 1.873737 0.6
5.000000 1 1 1.909091 0.6
5.000000 1 1 1.944444 0.6
5.000000 1 1 1.979798 0.6
5.000000 1 1 2.015152 0.6
5.000000 1 1 2.050505 0.6
5.000000 1 1 2.085859 0.6
5.000000 1 1 2.121212 0.6
5.000000 1 1 2.156566 0.6
5.000000 1 1 2.191919 0.6
5.000000 1 1 2.227273 0.6
5.000000 1 1 2.262626 0.6
5.000000 1 1 2.297980 0.6
5.000000 1 1 2.333333 0.6
5.000000 1 1 2.368687 0.6
5.000000 1 1 2.404040 0.6
5.000000 1 1 2.439394 0.6
5.000000 1 1 2.474747 0.6
5.000000 1 1 2.510101 0.6
5.000000 1 1 2.545455 0.6
5.000000 1 1 2.580808 0.6
5.000000 1 1 2.616162 0.6
5.000000 1 1 2.651515 0.6
5.000000 1 1 2.686869 0.6
5.000000 1 1 2.722222 0.6
5.000000 1 1 2.757576 0.6
5.000000 1 1 2.792929 0.6
5.000000 1 1 2.828283 0.6
5.000000 1 1 2.863636 0.6
5.000000 1 1 2.898990 0.6
5.000000 1 1 2.934343 0.6
5.000000 1 1 2.969697 0.6
5.000000 1 1 3.005051 0.6
5.000000 1 1 3.040404 0.6
5.000000 1 1 3.075758 0.6
5.000000 1 1 3.111111 0.6
5.000000 1 1 3.146465 0.6
5.000000 1 1 3.181818 0.6
5.000000 1 1 3.217172 0.6
5.000000 1 1 3.252525 0.6
5.000000 1 1 3.287879 0.6
5.000000 1 1 3.323232 0.6
5.000000 1 1 3.358586 0.6
5.000000 1 1 3.393939 0.6
5.000000 1 1 3.429293 0.6
5.000000 1 1 3.464646 0.6
5.000000 1 1 3.500000 0.6
5.000000 1 15 0.000000 0.8
5.000000 1 15 0.035354 0.8
5.000000 1 15 0.070707 0.8
5.000000 1 15 0.106061 0.8
5.000000 1 15 0.141414 0.8
5.000000 1 15 0.176768 0.8
5.000000 1 15 0.212121 0.8
5.000000 1 15 0.247475 0.8
5.000000 1 15 0.282828 0.8
5.000000 1 15 0.318182 0.8
5.000000 1 15 0.353535 0.8
5.000000 1 15 0.388889 0.8
5.000000 1 15 0.424242 0.8
5.000000 1 15 0.459596 0.8
5.000000 1 15 0.494949 0.8
5.000000 1 15 0.530303 0.8
5.000000 1 15 0.565657 0.8
5.000000 1 15 0.601010 0.8
5.000000 1 15 0.636364 0.8
5.000000 1 15 0.671717 0.8
5.000000 1 1 0.707071 0.8
5.000000 1 1 0.742424 0.8
5.000000 1 1 0.777778 0.8
5.000000 1 1 0.813131 0.8
5.000000 1 1 0.848485 0.8
5.000000 1 1 0.883838 0.8
5.000000 1 1 0.919192 0.8
5.000000 1 1 0.954545 0.8
5.000000 1 1 0.989899 0.8
5.000000 1 1 1.025253 0.8
5.000000 1 1 1.060606 0.8
5.000000 1 1 1.095960 0.8
5.000000 1 1 1.131313 0.8
5.000000 1 1 1.166667 0.8
5.000000 1 1 1.202020 0.8
5.000000 1 1 1.237374 0.8
5.000000 1 1 1.272727 0.8
5.000000 1 1 1.308081 0.8
5.000000 1 1 1.343434 0.8
5.000000 1 1 1.378788 0.8
5.000000 1 1 1.414141 0.8
5.000000 1 1 1.449495 0.8
5.000000 1 1 1.484848 0.8
5.000000 1 1 1.520202 0.8
5.000000 1 1 1.555556 0.8
5.000000 1 1 1.590909 0.8
5.000000 1 1 1.626263 0.8
5.000000 1 1 1.661616 0.8
5.000000 1 1 1.696970 0.8
5.000000 1 1 1.732323 0.8
5.000000 1 1 1.767677 0.8
5.000000 1 1 1.803030 0.8
5.000000 1 1 1.838384 0.8
5.000000 1 1 1.873737 0.8
5.000000 1 1 1.909091 0.8
5.000000 1 1 1.944444 0.8
5.000000 1 1 1.979798 0.8
5.000000 1 1 2.015152 0.8
5.000000 1 1 2.050505 0.8
5.000000 1 1 2.085859 0.8
5.000000 1 1 2.121212 0.8
5.000000 1 1 2.156566 0.8
5.000000 1 1 2.191919 0.8
5.000000 1 1 2.227273 0.8
5.000000 1 1 2.262626 0.8
5.000000 1 1 2.297980 0.8
5.000000 1 1 2.333333 0.8
5.000000 1 1 2.368687 0.8
5.000000 1 1 2.404040 0.8
5.000000 1 1 2.439394 0.8
5.000000 1 1 2.474747 0.8
5.000000 1 1 2.510101 0.8
5.000000 1 1 2.545455 0.8
5.000000 1 1 2.580808 0.8
5.000000 1 1 2.616162 0.8
5.000000 1 1 2.651515 0.8
5.000000 1 1 2.686869 0.8
5.000000 1 1 2.722222 0.8
5.000000 1 1 2.757576 0.8
5.000000 1 1 2.792929 0.8
5.000000 1 1 2.828283 0.8
5.000000 1 1 2.863636 0.8
5.000000 1 1 2.898990 0.8
5.000000 1 1 2.934343 0.8
5.000000 1 1 2.969697 0.8
5.000000 1 1 3.005051 0.8
5.000000 1 1 3.040404 0.8
5.000000 1 1 3.075758 0.8
5.000000 1 1 3.111111 0.8
5.000000 1 1 3.146465 0.8
5.000000 1 1 3.181818 0.8
5.000000 1 1 3.217172 0.8
5.000000 1 1 3.252525 0.8
5.000000 1 1 3.287879 0.8
5.000000 1 1 3.323232 0.8
5.000000 1 1 3.358586 0.8
5.000000 1 1 3.393939 0.8
5.000000 1 1 3.429293 0.8
5.000000 1 1 3.464646 0.8
5.000000 1 1 3.500000 0.8
